# prefix,country_code,region_code,city,postal
2a05:dfc7:6500::/40,ID,ID-NB,Mataram,83122
2a05:dfc7:6500::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6510::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6520::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6530::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6540::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6550::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6560::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6570::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6580::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:6590::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65a0::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65b0::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65c0::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65d0::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65e0::/44,ID,ID-NB,Mataram,83122
2a05:dfc7:65f0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d800::/40,ID,ID-NB,Mataram,83122
2a12:dd47:d800::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d810::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d820::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d830::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d840::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d850::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d860::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d870::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d880::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d890::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8a0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8b0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8c0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8d0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8e0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:d8f0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5200::/40,ID,ID-NB,Mataram,83122
2a12:dd47:5200::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5210::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5220::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5230::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5240::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5250::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5260::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5270::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5270::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5290::/44,ID,ID-NB,Mataram,83122
2a12:dd47:5210::/44,ID,ID-NB,Mataram,83122
2a12:dd47:52b0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:52c0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:52d0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:52e0::/44,ID,ID-NB,Mataram,83122
2a12:dd47:52f0::/44,ID,ID-NB,Mataram,83122
2a0e:46c4:2810::/44,ID,ID-NB,Mataram,83122
2a0e:b107:ad0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:5e0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:5f0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:600::/44,ID,ID-NB,Mataram,83122
2a0e:b107:640::/44,ID,ID-NB,Mataram,83122
2a0e:b107:650::/44,ID,ID-NB,Mataram,83122
2a0e:b107:660::/44,ID,ID-NB,Mataram,83122
2a0e:b107:670::/44,ID,ID-NB,Mataram,83122
2a0e:b107:690::/44,ID,ID-NB,Mataram,83122
2a0e:b107:6c0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:8c0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:900::/44,ID,ID-NB,Mataram,83122
2a0e:b107:bb0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1d60::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1dc0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1dd0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1de0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1df0::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1e00::/44,ID,ID-NB,Mataram,83122
2a0e:b107:1f00::/44,ID,ID-NB,Mataram,83122
2a0e:b107:2140::/44,ID,ID-NB,Mataram,83122
2a0e:b107:2150::/44,ID,ID-NB,Mataram,83122
